company_id,company_name,sector,latest_year,capital_allocation_rating,capital_allocation_pattern
TATACONSUM,Tata Consumer Products Ltd,,2024,WEAK,Cash Accumulator
TATAMOTORS,Tata Motors Ltd,,2024,EXCELLENT,Reinvestor
TATAPOWER,Tata Power Company Ltd,,2024,GOOD,Shareholder Returns
TATASTEEL,Tata Steel Ltd,,2024,WEAK,Cash Accumulator
TCS,Tata Consultancy Services Ltd,,2024,GOOD,Shareholder Returns
TECHM,Tech Mahindra Ltd,,2024,EXCELLENT,Reinvestor
TITAN,Titan Company Ltd,,2024,WEAK,Cash Accumulator
TORNTPHARM,Torrent Pharmaceuticals Ltd,,2024,EXCELLENT,Reinvestor
TRENT,Trent Ltd,,2024,MODERATE,Mixed
TVSMOTOR,TVS Motor Company Ltd,,2024,DISTRESSED,Distress Signal
ULTRACEMCO,UltraTech Cement,,2024,WEAK,Cash Accumulator
UNIONBANK,Union Bank of India,,2024,EXCELLENT,Reinvestor
