company_id,company_name,sector,rule_id,type,triggered,confidence_pct,eligible_after_threshold,reason,latest_roe,latest_roce,latest_debt_to_equity,latest_interest_coverage,latest_free_cash_flow,latest_revenue,latest_net_profit,latest_opm,latest_eps,latest_dividend_yield,latest_total_assets,latest_borrowings,latest_net_debt,latest_ebitda,trailing_revenue_cagar,trailing_profit_cagr,trailing_eps_cagr,history_years_count,history_roe_len,history_fcf_len,history_opm_len,history_revenue_len
BAJAJFINSV,Bajaj Finserv Ltd,,CON_10,con,False,0.0,False,ROCE = 11.1% (>= 10%),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,CON_11,con,False,0.0,False,Net Debt/EBITDA = 2.88x (<= 3x),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,CON_12,con,False,0.0,False,Revenue CAGR 5yr = 25.8% (>= 5%),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_01,pro,True,95.0,True,ROE > 20% for 10 consecutive years; avg ROE=4583.2%,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_02,pro,False,0.0,False,No FCF history available,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_03,pro,False,0.0,False,D/E = 1.3000 (not debt-free),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_04,pro,False,0.0,False,Revenue CAGR 5yr = 5.9% (<= 15%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_05,pro,False,0.0,False,OPM = 13.0% (<= 25%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_06,pro,False,0.0,False,PAT CAGR 5yr = 6.7% (<= 20%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_07,pro,True,95.0,True,ICR = 42.1 (> 10),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
